actividad,prestatario,vacantes,nombre_largo,nombre_del_programa,fecha_inicio,fecha_termino,objetivo,justificación,domicilio,representante,medios_de_contacto_con_el_representante,apoyos
APOYO EN MANTENIMIENTO A REDES Y DESARROLLO DE APLICACIONES,IMER (240103300),5,INSTITUTO MEXICANO DE LA RADIO,SUPERVISION Y DOCENCIA ADMINISTRATIVA DE LA COMUNICACIÓN (20001v1706),2022-04-16,2023-04-15,"CARACTERIZAR AL IMER COMO UN GRUPO RADIOFONICO DE APOYO SOCIAL Y QUE OFREZCA INNOVACIÓN, CALIDAD DENTRO DE LA CULTURA, EDUCACIÓN, INFORMACIÓN, SERVICIO Y ENTRETENIMIENTO SIN DESCUIDAR ALS NECESIDADES TANTO SOCIALES COMO CULTURALES",LA REALIZACION DEL SERVICIO SOCIAL VA ENFOCADA AL APOYO INTERNO DE CADA UNA DE LAS AREAS Y DA UN MEDIO ACTIVO A LOS ESTUDIANTES EN SU EJERCISIO PROFESIONAL Y DESARROLLO INTELECTUAL,"Calle: MAYORAZGO, Núm. exterior: 83, Núm. interior: S/N, Colonia: XOCO, Delegación o Municipio: BENITO JUAREZ",CLAUDIA NORIEGA LOPEZ,"e-mail: maria.hernandez@imer.com.mx, Tel: (55)56281700 ext. 1881, Fax: (55)56281700 ext.1881","CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, OPCIÓN A TESIS,"
DESARROLLO DE SISTEMAS.,"C.G. APRENDE,MX (241301086)",3,COORDINACION GENERAL APRENDE.MX,"""APOYO A LA EDUCACIÓN"" (02095c1815)",2022-06-16,2023-06-15,"Contribuir al abatimiento del rezago educativo en México, para lograrlo se ha ampliado en forma cualitativa y cuantitativa la cobertura de los servicios educativos.","Con el sistema Edusat no solo se fortalecerá el trabajo del docente, también se enriquecerá la formación cotidiana de la población en general.","Calle: AV. CIRCUNVALACIÓN S/ N ESQ. TABIQUEROS, Núm. exterior: ., Núm. interior: ., Colonia: MORELOS, Delegación o Municipio: VENUSTIANO CARRANZA",JUAN RAÚL MARTÍNEZ MORA,"e-mail: patricia.martinezs@nube.sep.gob.mx, Tel: (55) 36018100 ext: 56888, Fax: 36018100","CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO,"
APOYO EN LA PROGRAMACIÒN Y ELECTRONICA DE NUESTRO EQUIPO DE COMPUTO,COPIISA OFFSHORE (400119481),1,COPIISA OFFSHORE S.A DE C.V,FORTALECIMIENTO DE LA INDUSTRIA GENERADORA DE ENERGIA (20657l7161),2022-05-16,2023-05-15,"Contribuir en el fortalecimiento de los conocimientos en el sector de generaciòn energètica, fomentando la implementaciòn de nuevas estrategias y procedimientos que favorezcan e innoven el desarrollo de esta industria a nivel nacional.","Los prestatarios podràn implementar sus conocimientos, para fortalecer su compromiso social y generar una mayor conciencia y compromiso hacia el entorno que pertenecen","Calle: MANUEL LUIS STAMPA, Núm. exterior: 38, Núm. interior: S/N, Colonia: NUEVA INDUSTRIAL VALLEJO, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",OSCAR ARMANDO PALACIOS RODRIGUEZ,"e-mail: recursos.humanos@copiisaoffshore.mx, Tel: 36120901, Fax:","BECA ECONÓMICA, Monto del Apoyo $ , MATERIAL Y EQUIPO, PAPELERÍA,"
"APOYO EN LINEA EN PRESUPUESTO, INVESTIGACION, PROYECTOS DE AREAS ADMINISTRATIVAS. A DISTANCIA",H. CAMARA DE DIPUTADOS (230000100),-8,HONORABLE CAMARA DE DIPUTADOS,“ANÁLISIS PRESUPUESTAL” (A DISTANCIA) (05001h8391),2021-12-16,2022-12-15,"Apoyo a distancia en tareas de materia de finanzas públicas, análisis, proyecciones, cálculos e investigación de sistemas de cómputo, en áreas de presupuesto y contabilidad",Promover la participación y apoyo de la comunidad estudiantil en la modalidad distancia; permitiendo que se involucren en situaciones acordes a su preparación y contribuyan al desarrollo y resolución de problemáticas actuales del país desde el ámbito legislativo.,"Calle: AV. CONGRESO DE LA UNION, Núm. exterior: 66, Núm. interior: S/N, Colonia: EL PARQUE, Delegación o Municipio: VENUSTIANO CARRANZA",RICARDO RAMIREZ MEDINA,"e-mail: servicio.social@diputados.gob.mx, Tel: 50360000 ext. 51063 /66123/51065, Fax: 50360000","CURSOS,"
APOYO EN LA ADMINISTRACIÓN DE BASE DE DATOS,A .A. O (220100000),2,ALCALDIA DE ALVARO OBREGON,ADMINISTRATIVA (22001b1840),2022-03-16,2023-03-15,APOYAR EN LA IMPLEMENTACION DE LAS MEJORAS EN LOS PROCESOS ADMINISTRATIVOS,PARA DAR SEGUIMIENTO A LOS PROYECTOS DONDE SE INCLUYE A LOS PRESTADORES Y CONTINUAR BRINDANDO APOYO A LAS AREAS DE LA DELEGACION,"Calle: CANARIO ESQ. CALLE 10, Núm. exterior: S/N, Núm. interior: S/N, Colonia: TOLTECA, Delegación o Municipio: ALCALDÍA ÁLVARO OBREGÓN",ANA MARIA VILLANUEVA MEDINA,"e-mail: georgina_prieto@conaliteg.gob.mx, Tel: 5554810400 ext 6211, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
PROGRAMA DE SERVICIO SOCIAL EN APOYO AL H.AYUNTAMIENTO DE ECATEPEC DE MORELOS.,H. AYUNTAMIENTO DE ECATEPEC DE MORELOS (240105300),991,"H. AYUNTAMIENTO CONSTITUCIONAL DE ECATEPEC DE MORELOS, MEXICO","DESARROLLO SUSTENTABLE,SEGURIDAD PUBLICA Y COMBATE A LA MARGINACION (02067H2014)",2022-08-16,2023-08-15,"Apoyo a la poblacion en general brindando asesoria y capacitacion en labores del H.Ayuntamiento colaborando de manera directa en proyectos,programas y eventos.",Los prestadores de servicio social cuentan con los conocimientos necesarios para la aplicacion del programa y el mejoramiento del mismo.,"Calle: AV. JUAREZ, Núm. exterior: S/N, Núm. interior: S/N, Colonia: SAN CRISTOBAL CENTRO, Delegación o Municipio: ECATEPEC DE MORELOS",MARBELLA ORTIZ DÍAZ,"e-mail: edu_PUBLICAservicio@ecatepec.gob.mx, Tel: 58361500 EXT. 513 Y 1715, Fax:","ASESORÍA, MATERIAL Y EQUIPO, PAPELERÍA,"
"APOYO EN ANÁLISIS, DISEÑO Y CODIFICACIÓN DE SISTEMAS DE INFORMACIÓN A DISTANCIA",CVDR CAJEME SONORA (100113402),2,CENTRO DE VINCULACION Y DESARROLO REGIONAL CAJEME SONORA,SISTEMAS DE INFORMACIÓN DEL CVDR CAJEME A DISTANCIA (05712a8867),2022-09-01,2023-08-31,"Contribuir al desarrollo de sistemas de información que ayuden en labores administrativas del CVDR Cajeme, en específico: • Sistema de información de control escolar SICEC • Sistema de información de capacitadores SICA • Sistema de información directorio empresarial SIDEC",Se creará un sistema de información y almacén de datos que permita digitalizar operaciones en diversos rubros administrativos necesarios en el CVDR Cajeme.,"Calle: BLVD. RODOLFO ELIAS CALLES, Núm. exterior: 215, Núm. interior: S/N, Colonia: CORTINAS, Delegación o Municipio: CAJEME",ISRAEL HUERTA IBARRA,"e-mail: eramirezme@ipn.mx, Tel: 6444120298, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN,"
APOYO EN ASISTENCIA DE PLATAFORMAS DE CÓMPUTO DE LAS UNIDADES ADMINISTRATIVAS A DISTANCIA.,S.E.P.-D.G.R.H.y.O (241300043),9,DIRECCION GENERAL DE RECURSOS HUMANOS Y ORGANIZACIÓN,PAINDEPPAE SEP A DISTANCIA (05158c8638),2022-06-01,2023-05-31,"CONTRIBUIR CON EL PLAN NACIONAL DE DESARROLLO 2019-2024, APOYANDO A LA EDUCACIÓN CON MEJORES CONTENIDOS, ESCUELAS Y MAESTROS. EN ESTE CONTEXTO, LA EDUCACIÓN PRESENTA UNA GRAN OPORTUNIDAD PARA QUE CADA MEXICANA Y MEXICANO, Y POR ENDE NUESTRA NACIÓN, ALCANCE SU MÁXIMO POTENCIAL.","LOS PRESTADORES DE SERVICIOS TIENEN UNA GRAN IMPORTANCIA EN ESTE PROGRAMA, YA QUE ELLOS TIENEN LOS CONOCIMIENTOS PARA APOYAR EN LOS PROCESOS DENTRO DE LA SECRETARÍA DE EDUCACIÓN PÚBLICA, SU ACTITUD, APTITUD Y CREATIVIDAD APOYARÁN EN EL DESARROLLO DE UN MEJOR SERVICIO; Y ASÍ, TODOS CONTRIBUÍMOS PARA QUE CADA NIÑO CUENTE CON UNA ESCUELA DIGNA Y PROFESORES MÁS CAPACITADOS.","Calle: AV. UNIVERSIDAD, Núm. exterior: 1200, Núm. interior: 3-9, Colonia: XOCO, Delegación o Municipio: ALC. BENITO JUAREZ",IGNACIO PEREZ DIEGUEZ,"e-mail: ignacio.perez@nube.sep.gob.mx, Tel: 36002511 ext. 60064, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN,"
"APOYO EN LAS ACTIVIDADES DE ÁREAS ESPECÍFICAS DE LA CNBV PARA OPTIMIZAR SUS FUNCIONES, A DISTANCIA.",C.N.B.V. (300002300),6,COMISION NACIONAL BANCARIA Y DE VALORES,"INVESTIGACION ANALISIS Y SUPERVISION DEL SISTEMA FINANCIERO DE MEXICO EN LA CNBV, A DISTANCIA (05013e8468)",2022-02-01,2023-01-31,"Apoyar en las actividades de investigación, análisis y supervisión para procurar la estabilidad y correcto funcionamiento del Sistema Financiero Mexicano en la protección de los intereses del público que utiliza los servicios de las instituciones supervisadas por la CNBV.","Coadyuvar en las actividades de investigación, desarrollo, análisis y supervisión propias de la CNBV; para procurar su estabilidad y correcto funcionamiento, así como para mantener y fomentar el equilibrado y sano desarrollo del SFM.","Calle: AV. INSURGENTES SUR, Núm. exterior: 1971, Núm. interior: T. SUR 5T0. PISO, Colonia: GUADALUPE INN, Delegación o Municipio: ALVARO OBREGON",ROBERTO PAREJA PABLO,"e-mail: lmendozac@cnbv.gob.mx, Tel: (55)14546000 ext. 6448, Fax:","MATERIAL Y EQUIPO,"
ASESOR EDUCATIVO A DISTANCIA,PLAZA COMUNITARIA (241151320),-60,UNIVERSITARIOS POR LA EDUCACIÓN DE JÓVENES Y ADULTOS,UNIVERSITARIOS POR LA EDUCACIÓN DE JÓVENES Y ADULTOS A DISTANCIA (05833c8370),2022-04-01,2023-03-31,"Apoyar mediante ASESORÍAS A DISTANCIA a la población infantil, joven y adulta de los sistemas escolarizado, abierto y a distancia a concluir materias, módulos o cursos que se soliciten y que los prestadores de servicio social cuenten con la capacidad académica para asesorar a los educandos.",Enseñar a leer y a escribir y que se dé continuidad y/o conclusión a la educación básica y media superior a todos aquellos que requieran el servicio. Asesorar en diferentes niveles educativos. Contribuir a la disminución del rezago educativo.,"Calle: AV UNIVERSIDAD, Núm. exterior: 3000, Núm. interior: S/N, Colonia: UNIVERSIDAD, Delegación o Municipio: COYOACAN",LORENZO ROSSI HERNÁNDEZ,"e-mail: lrossihdz@hotmail.com, Tel: 5521997730, Fax:","ASESORÍA, CAPACITACIÓN,"
APOYO EN EL DESARROLLO DE SISTEMAS,CONSEJO DE LA JUDICATURA FEDERAL (230001000),10,CONSEJO DE LA JUDICATURA FEDERAL,ACTUALIZACIÓN ADMINISTRATIVA Y ORGANIZATIVA (08010h0538),2022-07-01,2023-05-31,"apoyar a los estudiantes en su desarrollo profesional, en la ampliación de sus conocimientos y en la adquisición de experiencia, a efecto de que se incorporen a un ambiente laboral.","Apoyo administrativo a los órganos del Consejo de la Judicatura Federal en el cumplimiento de sus funciones, contando con los alumnos del Instituto Politécnico Nacional.","Calle: CARRETERA PICACHO AJUSCO, Núm. exterior: 170, Núm. interior: S/N, Colonia: JARDINES DE LA MONTAÑA, Delegación o Municipio: TLALPAN",HERICH TORRES PONCE,"e-mail: serviciosocial1@correo.cjf.gob.mx, Tel: (55)5449 9500 ext. 1920,1921,1922,1923, Fax: 0","BECA ECONÓMICA, Monto del Apoyo $ , MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO ADMINISTRATIVO A LA COORDINACION ADMINISTRATIVA DE LA SIP A DISTANCIA,DP (100201902),7,DIRECCION DE POSGRADO,COORDINACION ADMINISTRATIVA DE LA SIP A DISTANCIA (05564a8895),2022-02-01,2023-01-31,APOYO A LOS PRESTADORES EN UNA MODALIDAD A DISTANCIA,APOYO A LOS PRESTADORES EN UNA MODALIDAD A DISTANCIA,"Calle: AV. LUIS ENRRIQUE ERRO, Núm. exterior: SN, Núm. interior: SN, Colonia: ZACATENCO, Delegación o Municipio: ALCALDIA G.A.M.",FLORISEL ALVAREZ RAMOS,"e-mail: chuertab@ipn.mx, Tel: (55)57296000 ext:50618, Fax: (55)57296000","ASESORÍA,"
PLANASSZE-BRIGADAS MULTIDICIPLINARIAS DE SERVICIO SOCIAL,D. E. Y S.S. (100400100),-31,DIRECCION DE EGRESADOS Y SERVICIO SOCIAL-PLANASSZE,PLANASSZE - PLAN NACIONAL DE SERVICIO SOCIAL EN ZONAS EJIDALES (22022a1106),2022-03-01,2023-02-28,"BRINDAR A LAS COMUNIDADES MAS DESPROTEGIDAS DEL PAIS SERVICIOS DE CALIDAD EN MATERIA DE INFRAESTRUCTURA SOCIAL BASICA, ASESORAMIENTO DE PROYECTOS PRODUCTIVOS, APOYO A LA ADMINISTRACION MUNICIPAL E IDENTIDAD JURIDICA, ENTRE OTROS",A TRAVEZ DEL SERVICIO SOCIAL COMUNITARIO LOS ALUMNOS DEL INSTITUTO CONTRIBUYEN CON EL DESARROLLO DEL PAIS AL GENERAR ALTERNATIVAS DE SOLUCION A LA PROBLEMÁTICA QUE ACTUALMENTE VIVEN LAS COMUNIDADES,"Calle: AV. JUAN DE DIOS BATIZ ESQ. LUIS ENRIQUE ERRO, Núm. exterior: S/N, Núm. interior: S/N, Colonia: LINDAVISTA ZACATENCO, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",ILSE CAROLINA SORIANO GALLEGOS,"e-mail: planassze.dess@gmail.com, Tel: 57296000 Ext. 51673, Fax: 57296000 Ext. 51672","ASESORÍA, CAPACITACIÓN, CURSOS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
APOYO EN LA ADMINISTRACIÓN MONITOREO Y SOPORTE DE SERVICIOS EN MATERIA DE TICS A DISTANCIA,DICONSA (240601901),1,"DICONSA, S. A. DE C. V.",PROGRAMA DE ABASTO RURAL A DISTANCIA (05554l8836),2021-12-01,2022-12-31,"Desarrollar las capacidades de los Alumnos del IPN, brindándoles la oportunidad de obtener experiencia laboral mediante la resolución de retos tecnológicos que demandan las Dependencias Gubernamentales, facilitándoles los medios tecnológicos y académicos.","Apoyar a los Estudiantes y Egresados a desarrollar habilidades, aptitudes y experiencias que les permitan un mejor desarrollo en el campo laboral.","Calle: AV. INSURGENTES SUR, Núm. exterior: 3483, Núm. interior: S/N, Colonia: VILLA OLIMPICA MIGUEL HIDALGO, Delegación o Municipio: TLALPAN",JOSÉ CARLOS HUERTA GONZÁLEZ,"e-mail: grojano@diconsa.gob.mx, Tel: (55)52290700 ext. 65604, Fax:","BECA ECONÓMICA, Monto del Apoyo $ ,"
ORGANIZACIÓN E INVENTARIO DE PREPARACIONES MICROSCOPICAS PERTENECIENTES A FIBRAS TEXTILES Y MADERAS,ENCRYM (241302510),-2,"ESCUELA NACIONAL DE CONSERVACION, RESTAURACION Y MUSEOGRAFIA","ENCRYM, INVESTIGACIÒN EN EL LABOARATORIO DE BIOLOGÍA (02325c0692)",2022-06-16,2023-06-15,IDENTIFICAR LOS MATERIALES ORGANICOS DE LAS DIFERENTES PIEZAS QUE SE RESTAURAN EN EL ENCRYM,"LA PRRESTACIÒN DE SERVICIO SOCIAL PERMITIRÀ LA CONSERVACIÒN DE PIEZAS DE PINTURA DE CABALLETE, ESCULTURAS POLICROMADAS Y TEXTILES.","Calle: GENERAL ANAYA, Núm. exterior: 187, Núm. interior: S/N, Colonia: SAN DIEGO CHURUBUSCO, Delegación o Municipio: COYOACAN",GERARDO RAMOS OLVERA,"e-mail: rosa_aguilar@inah.gob.mx, Tel: (55)50223440 ext: 412112, Fax: 5519080577","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, CURSOS, DIRECCIÓN DE TESIS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
APOYO EN CADA UNO DE LOS PROCESOS QUE SE REALIZAN EN LAS ÁREAS QUE CONFORMAN LA DII.,D.I.I. (100205500),24,DIRECCIÓN DE INFORMACIÓN INSTITUCIONAL,PROGRAMA GENERAL DE SERVICIO SOCIAL DE LA DIRECCIÓN DE INFORMACIÓN INSTITUCIONAL (05111a8988),2022-04-16,2023-04-15,"Permitir a los egresados de diversas carreras de nivel Medio-Superior y Superior, realizar su servicio social aportando sus conocimientos en el desarrollo de proyectos específicos que permitan a la Dirección de Información Institucional la optimización de sus procesos. De esta forma la Dirección brinda la oportunidad de que estos estudiantes se enfrenten al mercado laboral con una experiencia profesional muy cercana a lo que será su día a día profesional en sus respectivas áreas.","A partir de la reestructuración del Programa Institucional de Mediano Plazo 2021-2023, la Dirección de Información Institucional tiene a cargo nuevos proyectos, por lo que surge la necesidad de implementar nuevas estrategias considerando las aportaciones de los estudiantes del nivel Medio-Superior y Superior de nuestra Casa de Estudios, que permitan cumplir con las metas establecidas en tiempo y forma.","Calle: MIGUEL OTHÓN DE MENDIZÁBAL, Núm. exterior: S/N, Núm. interior: S/N, Colonia: RESIDENCIAL LA ESCALERA, Delegación o Municipio: GUSTAVO A. MADERO",CHRISTIAN LORENA PERALTA PALMA,"e-mail: clperalta@ipn.mx, Tel: 5557296000 Ext. 51879 y 51849, Fax: 5557296000 Ext. 51879 y 51849","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO AL DESARROLLO DE SISTEMAS INTELIGENTES DE PERCEPCIÓN Y CONTROL DE ROBOTS AUTÓNOMOS A DISTANCIA,"LABORATORIO ROVISA, DCA, CINVESTAV IPN (100200531)",4,LABORATORIO DE ROBÓTICA Y VISIÓN ARTIFICIAL DEL DEPTO. DE CONTROL AUTOMÁTICO DE CINVESTAV-IPN,ROBOTS AUTÓNOMOS A DISTANCIA (05641a8717),2021-09-01,2022-08-31,"El objetivo del servicio social en el programa de ROBOTS AUTÓNOMOS A DISTANCIA es el participar en proyectos de desarrollo tecnológico en áreas de percepción (visión, fuerza, inerciales, lidar, etc) y de control para lograr autonomía en humanoides, drones y en vehículos. Las actividades consisten básicamente en el APOYO al desarrollo de programación de sistemas de percepción y control de robots autónomos A DISTANCIA.","El desarrollo de proyectos sobre robots autónomos exige el trabajo en equipo de ingenieros de diversas especialidades (electrónica, computación, mecánica, mecatrónica, control y aún de matemáticas y física) a fin de desarrollar de manera eficiente los sistemas de percepción y de control entre otros que permitan la autonomía de los robots en cuestión.","Calle: AV. IPN, Núm. exterior: 2508, Núm. interior: S/N, Colonia: SAN PEDRO ZACATENCO, Delegación o Municipio: GAM",JUAN MANUEL IBARRA ZANNATHA,"e-mail: jibarra@cinvestav.mx, Tel: (55)57473742, Fax:","ASESORÍA, BIBLIOGRAFÍA, CAPACITACIÓN, CURSOS, DIRECCIÓN DE TESIS, MATERIAL Y EQUIPO, OPCIÓN A TESIS, PAPELERÍA,"
"APOYO EN LA ELAB. DE BASE DE DATOS DE EMPRESAS, ACTUALIZADO PARA DIFUSIÓN DE PROGRAMAS A DISTANCIA.",CVDR LOS MOCHIS (100111024),3,CENTRO DE VINCULACIÓN Y DESARROLLO REGIONAL UNIDAD LOS MOCHIS,"MARKETING DIGITAL: DISEÑO, DESARROLLO Y DIFUSIÓN DE PROGRAMAS Y PROYECTOS DE FORMACIÓN A DISTANCIA (05681a8372)",2021-12-01,2022-11-30,"El estudiante apoyará a lograr las metas y objetivos del CVDR Los Mochis, contribuyendo en actividades que forman parte de los programas y proyectos de formación, elaboración de contenidos promocionales para su difusión en las tecnologías de la información como; redes sociales, correos electrónicos y página web, además de apoyar en la elaboración de materiales para cursos y programas de capacitación, pláticas, conferencias en línea y eventos a distancia.","Derivado de la necesidad de apoyo en el área por las actividades que conlleva la elaboración de estos proyectos de formación, que dotarán de conocimientos adicionales al estudiante de servicio social, participando en la implementación y desarrollo de los mismos.","Calle: RUBI, Núm. exterior: S/N, Núm. interior: S/N, Colonia: FRACC. VIÑEDOS, Delegación o Municipio: AHOME",JORGE ENRIQUE CAÑEDO GARCÍA,"e-mail: jcanedo@ipn.mx, Tel: 555 729 6000 ext. 83019, Fax:","ASESORÍA, CAPACITACIÓN,"
APOYO AL CENTRO DE EMPRENDEDORES,CECATI NO. 65 (241301444),-2,CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NO. 65,APOYO DOCENTE Y ADMINISTRATIVO PARA LA FORMACION PARA EL TRABAJO (02679c6358),2022-03-16,2023-03-15,FORTALECER EN LOS ALUMNOS DE EDUCACION MEDIA SUPERIOR Y SUPERIOR LAS HABILIDADES Y DESTREZAS PARA SU INCLUSION EN EL MERCADO LABORAL,CONTAR CON PERSONAS CON DESEOS DE SUPERACION PERSONAL Y PROFESIOANL,"Calle: CONVENTO DEL CARMEN, Núm. exterior: 55, Núm. interior: S/N, Colonia: LOS REYES IXTACALA, Delegación o Municipio: TLALNEPANTLA DE BAZ",FELIPE DE JESUS GONZALEZ DORANTES,"e-mail: cecati65.dir@dgcft.sems.gob.mx, Tel: (0155)53197417, Fax:","CAPACITACIÓN, CURSOS,"
INGENIERIA EN MECATRONICA,SENER (240500001),0,SECRETARIA DE ENERGIA,REGULACIÓN Y COORDINACIÓN DEL SECTOR ENERGETICO (16000j0265),2022-02-16,2023-02-15,Desarrollar los sistemas administrativos que apoyen a mejorar el funcionamiento de la Secretaría.,"Apoyar al fortalecimiento de las carreras de nivel profesional, vinculando las necesidades reales de esta Secretaría.","Calle: VIADUCTO RIO BECERRA ESQ. PENSYLVANIA, Núm. exterior: S/N, Núm. interior: N/A, Colonia: NÁPOLES, Delegación o Municipio: BENITO JUÁREZ",JULIETA ACOSTA MINQUINI,"e-mail: serviciosocial@energia.gob.mx, Tel: 50006000 EXT 3119, Fax:","MATERIAL Y EQUIPO, PAPELERÍA,"
APOYO EN PROYECTOS DE INFRAESTRUCTURA DE EQUIPOS DE COMPUTO Y SISTEMAS DE INFORMÁTICA,PREVENCIÓN Y READAPTACIÓN SOCIAL (240190000),41,ÓRGANO ADMINISTRATIVO PREVENCIÓN Y READAPTACIÓN SOCIAL DE LA SSPC,PREVENCIÓN Y READAPTACIÓN SOCIAL A DISTANCIA (05061h8731),2022-04-01,2023-03-31,Brindar a los estudiantes interesados una alternativa para cubrir el servicio social y/o prácticas profesionales en las diversas áreas que integran Prevención y Readaptación Social,Establecer los procedimientos para la operación del servicio social y/o prácticas profesionales en la dependencia,"Calle: AV. MELCHOR OCAMPO, Núm. exterior: 171, Núm. interior: S/N, Colonia: TLAXPANA, Delegación o Municipio: MIGUEL HIDALGO",ANARELLA FLORES CUÉLLAR,"e-mail: marisol.lopezv@oadprs.gob.mx, Tel: 5551284100 ext: 18586, Fax: sin fax","MATERIAL Y EQUIPO, PAPELERÍA,"
"CAPTURA DE INFORMACIÓN PARA MATERIAL DIDÀCTICO, APOYO EN PRÁCTICAS EN TALLERES Y LABORATORIOS, ASESO",ESIT (100112100),0,ESCUELA SUPERIOR DE INGENIERIA TEXTIL,ASESORIA Y APOYO AL CENTRO DE COMPUTO Y RED ACADEMICA DE LA ESIT (20370a0085),2022-03-01,2023-02-28,"QUE EL PRESTADOR ADQUIERA EL CONOCIMIENTO SOBRE EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO HACIA LOS EQUIPOS DE COMPUTO, ASÍ COMO EL DESARROLLO DE MATERIALES EN LÍNEA.",BRINDAR UNA MEJOR ATENCIÓN A LOS USUARIOS ASI COMO UN DESARROLLO MÁS EFICAZ EN LA ELABORACION DE MATERIALES EN LINEA.,"Calle: AV. INSTITUTO POLITECNICO NACIONAL, Núm. exterior: S, Núm. interior: EDIF 8, Colonia: LINDAVISTA, Delegación o Municipio: ALCALDÍA GUSTAVO A. MADERO",ILIANA GARCIA NAVARRO,"e-mail: calopezgo@ipn.mx, Tel: 57296000 ext. 55191, Fax:","ASESORÍA, MATERIAL Y EQUIPO,"
APOYO A ACTIVIDADES ADMINISTRATIVAS Y TÉCNICAS DEL CET 1 A DISTANCIA,CET NO. 1 (100101800),2,"CENTRO DE ESTUDIOS TECNOLOGICOS NO. 1 ""WALTER CROSS BUCHANAN""",EN APOYO AL WALTER CROSS BUCHANAN (02220a1805),2022-04-16,2023-04-15,APOYAR A TODAS LAS AREAS QUE INTEGRAN ESTA UNIDAD ACADEMICA,"APOYAR A TODOS LOS PROCESOS TECNOLOGICOS, ACADEMICOS Y ADMINISTRATIVOS QUE INTEGRAN ESTA UNIDAD EDUCATIVA","Calle: AV.661 ESQ. 606, Núm. exterior: S/N, Núm. interior: S/N, Colonia: SAN JUAN DE ARAGON, Delegación o Municipio: Alcaldía Gustavo A. Madero",KARLA MARÍA LÓPEZ MORA,"e-mail: klopezmo@ipn.mx, Tel: 57296000 Ext. 42061, Fax:",
APOYO DOCENTE Y ADMINISTRATIVO A DISTANCIA PARA ALUMNOS DE OTRAS UNIDADES ACADÉMICAS,CECYT NO. 11 (100101200),96,"CENTRO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS NO. 11 ""WILFRIDO MASSIEU PEREZ""",WM 11 SS PARA AYUDA A LA COMUNIDAD (02090a2502),2022-03-16,2023-03-15,"AYUDAR A LA COMUNIDAD CON MAYOR NECESIDAD, MEDIANTE ACCIONES QUE CONLLEVEN A SU BIENESTAR",EL SERVICIO SOCIAL DEBE FOMENTAR Y DESARROLLAR EN LOS ALUMNOS UN ALTO SENTIDO DE SOLIDARIDAD SOCIAL,"Calle: AV. DE LOS MAESTROS, Núm. exterior: 217, Núm. interior: S/N, Colonia: CASCO DE SANTO TOMAS, Delegación o Municipio: MIGUEL HIDALGO",IGNACIO CHAVEZ HERNANDEZ,"e-mail: ichavez@ipn.mx, Tel: 57296000 EXT. 63618, Fax: 57296000","CAPACITACIÓN,"
APOYO EN EL DISEÑO E IMPLEMENTACIÓN DE SISTEMAS DE HARDWARE Y SOFWARE A DISTANCIA,CIJ (241500200),5,"CENTROS DE INTEGRACION JUVENIL, A.C.","PREVENCIÓN, TRATAMIENTO E INVESTIGACIÓN DE LAS ADICCIONES A DISTANCIA (05037k8800)",2021-10-16,2022-10-15,"Ofrecer a estudiantes de distintos perfiles del nivel medio superior y superior, un espacio de aprendizaje para fortalecer sus competencias profesionales, académicas e interpersonales mediante acciones dirigidas a otorgar servicios de prevención, tratamiento, investigación del uso y abuso de sustancias psicoactivas, y de promoción de la salud con la comunidad","El prestador tiene la oportunidad de participar con la comunidad a través de acciones preventivas y de educación de la salud; observando que las actividades sean acordes a su perfil profesional, y contribuyan a su formación académica","Calle: AV. SAN JERÓNIMO, Núm. exterior: 372, Núm. interior: 6TO PISO, Colonia: JARDINES DEL PEDREGAL, Delegación o Municipio: ÁLVARO OBREGÓN",LAURA MARCELA RODRÍGUEZ PÉREZ,"e-mail: serviciosocial@cij.gob.mx, Tel: 59994949 ext. 1634, 1635, Fax:","CAPACITACIÓN,"
